Tên Đề Thi,Cấp Lớp,Mốc Thời Gian,Loại Câu Hỏi,Nội dung câu hỏi,Đáp án 1,Đáp án 2,Đáp án 3,Đáp án 4,Đáp án đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 9,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,học,bài,Tớ,đang,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 9,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 9,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 9,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 9,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 10,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'mênh mông'?,Nhỏ bé,Rộng rãi,Nông cạn,Chật hẹp,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 10,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'mênh mông'?,Nhỏ bé,Nông cạn,Chật hẹp,Rộng rãi,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 10,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 10,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 10,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,học,bài,đang,Tớ,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 10,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,đang,bài,học,Tớ,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 10,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 10,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 10,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 10,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 1,5,end1,multiple_choice,Cặp quan hệ từ 'Tuy... nhưng...' biểu thị quan hệ gì?,Nguyên nhân - Kết quả,Tương phản,Điều kiện - Kết quả,Tăng tiến,Tương phản
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 1,5,end1,multiple_choice,Cặp quan hệ từ 'Tuy... nhưng...' biểu thị quan hệ gì?,Nguyên nhân - Kết quả,Tăng tiến,Tương phản,Điều kiện - Kết quả,Tương phản
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 1,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 1,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 1,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Ca sĩ,Nhạc sĩ,Kỹ sư,Họa sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 1,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Kỹ sư,Họa sĩ,Ca sĩ,Nhạc sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 1,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 1,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 1,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 1,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 2,5,end1,multiple_choice,Cặp quan hệ từ 'Nếu... thì...' biểu thị quan hệ gì?,Tăng tiến,Nguyên nhân - Kết quả,Tương phản,Điều kiện - Kết quả,Điều kiện - Kết quả
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 2,5,end1,multiple_choice,Cặp quan hệ từ 'Tuy... nhưng...' biểu thị quan hệ gì?,Tương phản,Tăng tiến,Nguyên nhân - Kết quả,Điều kiện - Kết quả,Tương phản
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 2,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 2,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 2,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Nhạc sĩ,Họa sĩ,Kỹ sư,Ca sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 2,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Họa sĩ,Nhạc sĩ,Kỹ sư,Ca sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 2,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 2,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 2,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 2,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 3,5,end1,multiple_choice,Cặp quan hệ từ 'Vì... nên...' biểu thị quan hệ gì?,Nguyên nhân - Kết quả,Điều kiện - Kết quả,Tương phản,Tăng tiến,Nguyên nhân - Kết quả
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 3,5,end1,multiple_choice,Cặp quan hệ từ 'Tuy... nhưng...' biểu thị quan hệ gì?,Tương phản,Nguyên nhân - Kết quả,Tăng tiến,Điều kiện - Kết quả,Tương phản
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 3,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 3,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 3,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Ca sĩ,Kỹ sư,Nhạc sĩ,Họa sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 3,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Nhạc sĩ,Kỹ sư,Họa sĩ,Ca sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 3,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 3,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 3,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 3,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 4,5,end1,multiple_choice,Cặp quan hệ từ 'Vì... nên...' biểu thị quan hệ gì?,Tăng tiến,Tương phản,Điều kiện - Kết quả,Nguyên nhân - Kết quả,Nguyên nhân - Kết quả
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 4,5,end1,multiple_choice,Cặp quan hệ từ 'Tuy... nhưng...' biểu thị quan hệ gì?,Tương phản,Tăng tiến,Nguyên nhân - Kết quả,Điều kiện - Kết quả,Tương phản
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 4,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 4,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 4,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Kỹ sư,Nhạc sĩ,Ca sĩ,Họa sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 4,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Kỹ sư,Ca sĩ,Nhạc sĩ,Họa sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 4,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 4,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 4,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 4,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 5,5,end1,multiple_choice,Cặp quan hệ từ 'Nếu... thì...' biểu thị quan hệ gì?,Điều kiện - Kết quả,Nguyên nhân - Kết quả,Tương phản,Tăng tiến,Điều kiện - Kết quả
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 5,5,end1,multiple_choice,Cặp quan hệ từ 'Vì... nên...' biểu thị quan hệ gì?,Nguyên nhân - Kết quả,Tương phản,Điều kiện - Kết quả,Tăng tiến,Nguyên nhân - Kết quả
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 5,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 5,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 5,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Ca sĩ,Nhạc sĩ,Kỹ sư,Họa sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 5,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Ca sĩ,Nhạc sĩ,Kỹ sư,Họa sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 5,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 5,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 5,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 5,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 6,5,end1,multiple_choice,Cặp quan hệ từ 'Vì... nên...' biểu thị quan hệ gì?,Nguyên nhân - Kết quả,Tương phản,Điều kiện - Kết quả,Tăng tiến,Nguyên nhân - Kết quả
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 6,5,end1,multiple_choice,Cặp quan hệ từ 'Vì... nên...' biểu thị quan hệ gì?,Tăng tiến,Điều kiện - Kết quả,Tương phản,Nguyên nhân - Kết quả,Nguyên nhân - Kết quả
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 6,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 6,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 6,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Nhạc sĩ,Ca sĩ,Kỹ sư,Họa sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 6,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Họa sĩ,Ca sĩ,Kỹ sư,Nhạc sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 6,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 6,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 6,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 6,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 7,5,end1,multiple_choice,Cặp quan hệ từ 'Vì... nên...' biểu thị quan hệ gì?,Nguyên nhân - Kết quả,Tương phản,Điều kiện - Kết quả,Tăng tiến,Nguyên nhân - Kết quả
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 7,5,end1,multiple_choice,Cặp quan hệ từ 'Tuy... nhưng...' biểu thị quan hệ gì?,Nguyên nhân - Kết quả,Điều kiện - Kết quả,Tương phản,Tăng tiến,Tương phản
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 7,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 7,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 7,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Ca sĩ,Kỹ sư,Họa sĩ,Nhạc sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 7,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Nhạc sĩ,Kỹ sư,Ca sĩ,Họa sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 7,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 7,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 7,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 7,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 8,5,end1,multiple_choice,Cặp quan hệ từ 'Tuy... nhưng...' biểu thị quan hệ gì?,Nguyên nhân - Kết quả,Tương phản,Điều kiện - Kết quả,Tăng tiến,Tương phản
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 8,5,end1,multiple_choice,Cặp quan hệ từ 'Nếu... thì...' biểu thị quan hệ gì?,Tăng tiến,Điều kiện - Kết quả,Tương phản,Nguyên nhân - Kết quả,Điều kiện - Kết quả
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 8,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 8,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 8,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Nhạc sĩ,Họa sĩ,Ca sĩ,Kỹ sư,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 8,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Kỹ sư,Ca sĩ,Nhạc sĩ,Họa sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 8,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 8,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 8,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 8,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 9,5,end1,multiple_choice,Cặp quan hệ từ 'Vì... nên...' biểu thị quan hệ gì?,Nguyên nhân - Kết quả,Điều kiện - Kết quả,Tương phản,Tăng tiến,Nguyên nhân - Kết quả
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 9,5,end1,multiple_choice,Cặp quan hệ từ 'Tuy... nhưng...' biểu thị quan hệ gì?,Tăng tiến,Tương phản,Điều kiện - Kết quả,Nguyên nhân - Kết quả,Tương phản
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 9,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 9,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 9,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Kỹ sư,Ca sĩ,Họa sĩ,Nhạc sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 9,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Ca sĩ,Nhạc sĩ,Kỹ sư,Họa sĩ,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 9,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 9,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 9,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 9,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 10,5,end1,multiple_choice,Cặp quan hệ từ 'Vì... nên...' biểu thị quan hệ gì?,Nguyên nhân - Kết quả,Tăng tiến,Tương phản,Điều kiện - Kết quả,Nguyên nhân - Kết quả
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 10,5,end1,multiple_choice,Cặp quan hệ từ 'Vì... nên...' biểu thị quan hệ gì?,Nguyên nhân - Kết quả,Tăng tiến,Điều kiện - Kết quả,Tương phản,Nguyên nhân - Kết quả
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 10,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 10,5,end1,fill_blank,Điền từ nối: '... trời mưa to nên đường rất trơn.',Vì,Tuy,Nhưng,Nếu,Vì
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 10,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Họa sĩ,Ca sĩ,Nhạc sĩ,Kỹ sư,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 10,5,end1,multiple_choice,"Từ nào không cùng nhóm: 'Họa sĩ', 'Ca sĩ', 'Nhạc sĩ', 'Kỹ sư'?",Ca sĩ,Họa sĩ,Nhạc sĩ,Kỹ sư,Kỹ sư
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 10,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 10,5,end1,true_false,"Đúng hay sai: Bức thư thường có phần đầu, phần chính và phần cuối.",Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 10,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - END1 - Đề 10,5,end1,comparison,"So sánh số lượng từ chỉ nghệ thuật trong 2 câu: 'Hát chèo rất hay' ... 'Hát tuồng, múa rối rất đặc sắc'",>,<,=,,<
Đề thi Tiếng Việt Lớp 5 - MID2 - Đề 1,5,mid2,multiple_choice,Xác định biện pháp tu từ trong câu: 'Mặt trời đỏ rực như quả cầu lửa.',Ẩn dụ,Điệp ngữ,So sánh,Nhân hóa,So sánh
Đề thi Tiếng Việt Lớp 5 - MID2 - Đề 1,5,mid2,multiple_choice,Xác định biện pháp tu từ trong câu: 'Mặt trời đỏ rực như quả cầu lửa.',Nhân hóa,Ẩn dụ,Điệp ngữ,So sánh,So sánh
Đề thi Tiếng Việt Lớp 5 - MID2 - Đề 1,5,mid2,fill_blank,Điền quan hệ từ: 'Hải không những học giỏi ... bạn ấy còn hát hay.',mà,nhưng,và,còn,mà
Đề thi Tiếng Việt Lớp 5 - MID2 - Đề 1,5,mid2,fill_blank,Điền quan hệ từ: 'Bình không những học giỏi ... bạn ấy còn hát hay.',mà,nhưng,và,còn,mà
Đề thi Tiếng Việt Lớp 5 - MID2 - Đề 1,5,mid2,multiple_choice,"Câu 'Mưa rơi tí tách, gió thổi rì rào' là loại câu gì?",Câu ghép,Câu đơn,Câu khiến,Câu hỏi,Câu ghép
Đề thi Tiếng Việt Lớp 5 - MID2 - Đề 1,5,mid2,multiple_choice,"Câu 'Mưa rơi tí tách, gió thổi rì rào' là loại câu gì?",Câu đơn,Câu ghép,Câu khiến,Câu hỏi,Câu ghép
Đề thi Tiếng Việt Lớp 5 - MID2 - Đề 1,5,mid2,true_false,Đúng hay sai: Hai vế của câu ghép có thể nối với nhau bằng dấu phẩy.,Đúng,Sai,,,Đúng
